"engine","clip","latency_ms","max_rss_kb","temp_c","transcript"
"whisper-tiny-q5_1","speech_1784633370389_5620-6480.wav","1610","133064","40.9","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633380110_13880-16180.wav","1615","133144","40.9","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633403670_38900-39740.wav","1348","133368","40.9","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633406608_41900-42740.wav","1558","132364","40.9","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633410191_45100-46220.wav","1689","133096","40.9","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633413133_47800-49260.wav","1661","133128","40.9","Merhaba."
"whisper-tiny-q5_1","speech_1784633416093_51020-52100.wav","1629","132464","40.8","Merhaba."
"whisper-tiny-q5_1","speech_1784633417869_52820-53940.wav","1697","132348","40.8","Kadir."
"whisper-tiny-q5_1","speech_1784633421329_55760-57360.wav","1536","132912","40.8","O Yemin."
"whisper-tiny-q5_1","speech_1784633424154_58960-60200.wav","1972","133416","40.8","Mıkam ben."
"whisper-tiny-q5_1","speech_1784633428750_62000-64880.wav","2163","133504","40.8","Spotify'dan bana bu şarkıya çabildir misin?"
"whisper-tiny-q5_1","speech_1784633432213_66620-68300.wav","1858","133072","40.8","Spotifiedan."
"whisper-tiny-q5_1","speech_1784633435677_69060-71800.wav","1984","133428","40.8","Sip otif yer uygulamazından."
"whisper-tiny-q5_1","speech_1784633439510_73000-75560.wav","1331","133336","40.8","Supportifi uygulamazsın da."
"whisper-tiny-q5_1","speech_1784633444636_79320-80680.wav","1969","133172","40.8","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633499797_135060-135900.wav","1706","133256","40.8","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633538831_174020-174920.wav","3872","133124","40.8","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633542035_175920-178140.wav","1461","133324","40.8","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633544328_179540-180400.wav","1340","133212","40.8","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633551895_187160-188000.wav","1308","133160","40.8","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633566230_201420-202320.wav","1538","133256","41.7","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633811830_446820-447660.wav","1408","133276","41.7","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633815793_450760-451600.wav","1312","133196","41.7","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633874796_509080-510700.wav","1299","133752","41.7","Adamına koyayım ne?"
"whisper-tiny-q5_1","speech_1784633910770_545660-546600.wav","4794","133164","41.7","[Gerilim müziği]"
"whisper-tiny-q5_1","speech_1784633912555_546940-548480.wav","2069","133024","41.7","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633926507_561580-562420.wav","1972","133380","41.7","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633932910_567900-568820.wav","1967","133236","41.7","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633964273_599240-600080.wav","1983","132844","41.7","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633985650_620640-621480.wav","1996","133100","41.7","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634011109_646040-646960.wav","1843","133144","41.7","(MÜZİK ÇALIYOR)"
"whisper-tiny-q5_1","speech_1784634011891_646960-647720.wav","1927","133288","41.7","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634015470_650060-651360.wav","2016","133000","41.7","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634017917_652960-653800.wav","1949","133024","42.5","(MÜZİK ÇALIYOR)"
"whisper-tiny-q5_1","speech_1784634055039_689920-690920.wav","2060","133188","42.5","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634118516_753560-754400.wav","1981","133384","42.5","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634120317_755200-756200.wav","2128","132772","42.5","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634125680_760740-761580.wav","2097","133000","42.5","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634131437_766160-767260.wav","2115","133248","42.5","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634135677_770580-771520.wav","2117","132740","42.5","(MÜZİK ÇALIYOR)"
"whisper-tiny-q5_1","speech_1784634143355_778120-779200.wav","5237","133384","42.5","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634144639_779660-780500.wav","2081","133036","42.5","(MÜZİK ÇALIYOR)"
"whisper-tiny-q5_1","speech_1784634155898_790700-791760.wav","1992","133536","42.5","(sessizlik)"
"whisper-tiny-q5_1","speech_1784634162555_797500-798380.wav","2136","132848","42.5","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634231668_866240-867460.wav","2216","133052","42.5","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634234729_868960-870540.wav","2090","132888","42.6","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634235369_870540-871240.wav","2029","132476","42.6","(MÜZİK ÇALIYOR)"
"whisper-tiny-q5_1","speech_1784634236649_871460-872560.wav","2048","133060","42.6","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634238835_873440-874720.wav","2074","133212","42.6","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634241274_875660-877100.wav","2097","133044","42.6","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634243047_877900-878860.wav","2049","132732","42.6","(MÜZİK ÇALIYOR)"
"whisper-tiny-q5_1","speech_1784634252151_887120-888000.wav","2078","132724","42.6","(MÜZİK ÇALIYOR)"
"whisper-tiny-q5_1","speech_1784634255731_890200-891560.wav","2009","133036","42.6","Şimdi..."
"whisper-tiny-q5_1","speech_1784634256369_891560-892240.wav","2049","132948","42.6","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634258291_893340-894180.wav","2030","133140","42.6","(MÜZİK ÇALIYOR)"
"whisper-tiny-q5_1","speech_1784634261992_896920-897820.wav","2031","133192","42.6","Sevgi mi?"
"whisper-tiny-q5_1","speech_1784634264700_898420-900520.wav","2072","133156","42.6","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634267248_901880-903140.wav","2111","133048","42.6","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634271588_906380-907400.wav","1996","132708","42.8","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634273388_907640-909260.wav","2059","133044","42.8","[MÜZİK ÇALIYOR]"
"whisper-base-q5_1","speech_1784633370389_5620-6480.wav","4250","201260","42.8","[MÜZİK ÇALIYOR]"
"whisper-base-q5_1","speech_1784633380110_13880-16180.wav","3998","201520","42.8","[MÜZİK ÇALIYOR]"
"whisper-base-q5_1","speech_1784633403670_38900-39740.wav","3878","201676","42.8","[MÜZİK ÇALIYOR]"
"whisper-base-q5_1","speech_1784633406608_41900-42740.wav","3870","201268","42.8","(Gerilim müziği)"
"whisper-base-q5_1","speech_1784633410191_45100-46220.wav","4076","201260","42.8","(Gerilim müziği)"
"whisper-base-q5_1","speech_1784633413133_47800-49260.wav","3993","201008","42.8","Merhaba."
"whisper-base-q5_1","speech_1784633416093_51020-52100.wav","3886","201332","43.1","Merhaba."
"whisper-base-q5_1","speech_1784633417869_52820-53940.wav","3825","201776","43.1","Kadir."
"whisper-base-q5_1","speech_1784633421329_55760-57360.wav","4236","201484","43.1","ooo yehmen"
"whisper-base-q5_1","speech_1784633424154_58960-60200.wav","4269","201576","43.1","Bir kere met."
"whisper-base-q5_1","speech_1784633428750_62000-64880.wav","4353","201888","43.1","Spotify'den bana bu şarkıya açabilir misin?"
"whisper-base-q5_1","speech_1784633432213_66620-68300.wav","3882","201192","43.1","Spotify'dan."
"whisper-base-q5_1","speech_1784633435677_69060-71800.wav","4230","201540","43.1","Sipotif yer uygulamasından."
"whisper-base-q5_1","speech_1784633439510_73000-75560.wav","4223","201580","43.4","Sıportifi uygulamasından."
"whisper-base-q5_1","speech_1784633444636_79320-80680.wav","4074","201172","43.4","(Gerilim müziği)"
"whisper-base-q5_1","speech_1784633499797_135060-135900.wav","7401","201100","43.4","(Gerilim müziği)"
"whisper-base-q5_1","speech_1784633538831_174020-174920.wav","4017","201508","43.4","(Gerilim müziği)"
"whisper-base-q5_1","speech_1784633542035_175920-178140.wav","4134","201596","43.4","[MÜZİK ÇALIYOR]"
"whisper-base-q5_1","speech_1784633544328_179540-180400.wav","4425","201632","43.4","(Tapak sesi)"
"whisper-base-q5_1","speech_1784633551895_187160-188000.wav","4148","201692","43.7","[MÜZİK ÇALIYOR]"
"whisper-base-q5_1","speech_1784633566230_201420-202320.wav","4204","201548","43.7","[...müzik çalıyor...] [...müzik çalıyor...]"
"whisper-base-q5_1","speech_1784633811830_446820-447660.wav","4213","201660","43.7","[MÜZİK ÇALIYOR]"
"whisper-base-q5_1","speech_1784633815793_450760-451600.wav","4090","201548","43.7","[MÜZİK ÇALIYOR]"
"whisper-base-q5_1","speech_1784633874796_509080-510700.wav","4163","201452","43.7","Adamına koyayım ne yapayım."
"whisper-base-q5_1","speech_1784633910770_545660-546600.wav","3911","200980","43.7","Şişt!"
"whisper-base-q5_1","speech_1784633912555_546940-548480.wav","11672","202980","43.8","(Tövbe)"
"whisper-base-q5_1","speech_1784633926507_561580-562420.wav","4107","201232","43.8","(Ağlama sesi)"
"whisper-base-q5_1","speech_1784633932910_567900-568820.wav","4479","201804","43.8","(Tiklete)"
"whisper-base-q5_1","speech_1784633964273_599240-600080.wav","4495","201640","43.8","(Ağlama sesi)"
"whisper-base-q5_1","speech_1784633985650_620640-621480.wav","4333","201852","43.8","(Tapak sesi)"
"whisper-base-q5_1","speech_1784634011109_646040-646960.wav","7872","202800","44.0","(Ağlama sesi)"
"whisper-base-q5_1","speech_1784634011891_646960-647720.wav","4102","201444","44.0","[...müzik çalıyor...]"
"whisper-base-q5_1","speech_1784634015470_650060-651360.wav","4110","201544","44.0","(Gerilim müziği)"
"whisper-base-q5_1","speech_1784634017917_652960-653800.wav","4578","201276","44.0","(Kuş cıvıltısı sesleri)"
"whisper-base-q5_1","speech_1784634055039_689920-690920.wav","4139","200948","44.0","(Gerilim müziği)"
"whisper-base-q5_1","speech_1784634118516_753560-754400.wav","4104","201636","44.0","(Gerilim müziği)"
"whisper-base-q5_1","speech_1784634120317_755200-756200.wav","4096","200904","44.0","(Gerilim müziği)"
"whisper-base-q5_1","speech_1784634125680_760740-761580.wav","4377","201360","44.0","(Tık)"
"whisper-base-q5_1","speech_1784634131437_766160-767260.wav","8445","201388","44.0","(Tapak çalar)"
"whisper-base-q5_1","speech_1784634135677_770580-771520.wav","7770","202732","44.0","(Ağlama sesi)"
"whisper-base-q5_1","speech_1784634143355_778120-779200.wav","4479","201628","44.0","(Tapak sesi)"
"whisper-base-q5_1","speech_1784634144639_779660-780500.wav","7268","201168","44.0","(Gerilim müziği)"
"whisper-base-q5_1","speech_1784634155898_790700-791760.wav","4496","201340","44.0","(Tapak çalar)"
"whisper-base-q5_1","speech_1784634162555_797500-798380.wav","4073","201408","44.0","(Gerilim müziği)"
"whisper-base-q5_1","speech_1784634231668_866240-867460.wav","4149","201512","44.0","[MÜZİK ÇALIYOR]"
"whisper-base-q5_1","speech_1784634234729_868960-870540.wav","4585","201920","44.0","(Tapak çalar)"
"whisper-base-q5_1","speech_1784634235369_870540-871240.wav","4115","200740","44.0","[MÜZİK ÇALIYOR]"
"whisper-base-q5_1","speech_1784634236649_871460-872560.wav","4077","201752","44.2","(Gerilim müziği)"
"whisper-base-q5_1","speech_1784634238835_873440-874720.wav","4146","201628","44.2","(Gerilim müziği)"
"whisper-base-q5_1","speech_1784634241274_875660-877100.wav","4186","201368","44.2","(Gerilim müziği)"
"whisper-base-q5_1","speech_1784634243047_877900-878860.wav","4112","200808","44.2","[MÜZİK ÇALIYOR]"
"whisper-base-q5_1","speech_1784634252151_887120-888000.wav","4352","201072","44.2","settim. Yaptan"
"whisper-base-q5_1","speech_1784634255731_890200-891560.wav","4174","201600","44.2","Kındanıyor."
"whisper-base-q5_1","speech_1784634256369_891560-892240.wav","3899","201368","44.2","[...müzik çalıyor...]"
"whisper-base-q5_1","speech_1784634258291_893340-894180.wav","4096","202004","44.2","[MÜZİK ÇALIYOR]"
"whisper-base-q5_1","speech_1784634261992_896920-897820.wav","4264","201664","44.2","Söyleyin."
"whisper-base-q5_1","speech_1784634264700_898420-900520.wav","7701","201656","44.2","[...müzik çalıyor...]"
"whisper-base-q5_1","speech_1784634267248_901880-903140.wav","4138","201232","44.2","(Gerilim müziği)"
"whisper-base-q5_1","speech_1784634271588_906380-907400.wav","4099","201572","44.2","[...müzik çalıyor...]"
"whisper-base-q5_1","speech_1784634273388_907640-909260.wav","4306","201624","44.4","(Gerilim müziği)"
